variant_slug,support,support_slug,Canal,periodicite_print,diffusion_print,format_print,Visites par mois Web,Pages vues par mois Web,Nombre d'envois NL,tarif_brut,tarif_net
journal-du-parlement::print,JOURNAL DU PARLEMENT,journal-du-parlement,Print,Trimestriel,8000,240 x 320,,,,7500,5100
journal-du-pneumatique::print,JOURNAL DU PNEUMATIQUE,journal-du-pneumatique,Print,Bimestriel,6000,297 x 210,,,,4000,2720
journal-fran-ais-d-ophtalmologie::print,JOURNAL FRANÇAIS D'OPHTALMOLOGIE,journal-fran-ais-d-ophtalmologie,Print,Mensuel,5900,210 x 280,,,,9390,6385.2
journal-market::print,JOURNAL MARKET,journal-market,Print,Mensuel,8000,230 x 300,,,,2500,1700
kine-actualite::print,KINE ACTUALITE,kine-actualite,Print,Bimensuel,6800,208 x 265,,,,4525,3077
kinesitherapie-la-revue::print,KINESITHERAPIE LA REVUE,kinesitherapie-la-revue,Print,Mensuel,7470,210 x 280,,,,5450,3706
kinesitherapie-scientifique::print,KINESITHERAPIE SCIENTIFIQUE,kinesitherapie-scientifique,Print,Mensuel,6800,208 x 265,,,,4525,3077
l-activite-immobiliere::print,L'ACTIVITE IMMOBILIERE,l-activite-immobiliere,Print,Mensuel,7000,210 x 297,,,,3300,2244
l-antenne::print,L'ANTENNE,l-antenne,Print,Mensuel,10000,230 x 330,,,,5000,3400
l-assmat::print,L'ASSMAT,l-assmat,Print,Bimestriel,17000,210 x 297,,,,2800,1904
l-autre-cuisine::print,L'AUTRE CUISINE,l-autre-cuisine,Print,Trimestriel,15000,210 x 290,,,,5500,3740
l-auvergnat-de-paris::print,L'AUVERGNAT DE PARIS,l-auvergnat-de-paris,Print,Bimestriel,10200,240 x 390,,,,4000,2720
l-eclaireur-des-coiffeur::print,L'ECLAIREUR DES COIFFEURS,l-eclaireur-des-coiffeur,Print,Bimestriel,25000,207 x 270,,,,5600,3808
l-eleveur-lapin::print,L'ELEVEUR LAPIN,l-eleveur-lapin,Print,2 Numéros / an,1527,,,,,2550,1734
l-enseignant::print,L'ENSEIGNANT,l-enseignant,Print,Bimestriel,53719,210 x 297,,,,9250,6290
l-essentiel-de-l-optique::print,L'ESSENTIEL DE L'OPTIQUE,l-essentiel-de-l-optique,Print,Mensuel,12000,210 x 297,,,,6700,4556
l-essentiel::print,L'ESSENTIEL,l-essentiel,Print,Hebdomadaire (chaque jeudi),5000,206 x 265,,,,4400,2992
l-hemicyle::print,L'HEMICYLE,l-hemicyle,Print,Trimestriel,5000,210 x 280,,,,6900,4692
l-hotellerie-restauration::print,L'HOTELLERIE RESTAURATION,l-hotellerie-restauration,Print,Mensuel,40000,240 x 335,,,,7800,5304
l-industrie-hoteliere::print,L'INDUSTRIE HOTELIERE,l-industrie-hoteliere,Print,9 Numéros / an,17000,210 x 297,,,,5400,3672
l-infirmiere-magazine::print,L'INFIRMIERE MAGAZINE,l-infirmiere-magazine,Print,Mensuel,40000,210 x 297,,,,8100,5508
l-informaticien::print,L'INFORMATICIEN,l-informaticien,Print,Mensuel,12000,210 x 297,,,,3800,2584
l-information-dentaire::print,L'INFORMATION DENTAIRE,l-information-dentaire,Print,Hebdomadaire (chaque mercredi),9177,210 x 270,,,,5000,3400
l-information-psychiatrique::print,L'INFORMATION PSYCHIATRIQUE,l-information-psychiatrique,Print,Mensuel,3000,210 x 270,,,,5400,3672
l-installateur::print,L'INSTALLATEUR,l-installateur,Print,Mensuel,24000,240 x 310,,,,7410,5038.8
l-officiel-des-cuisinistes::print,L'OFFICIEL DES CUISINISTES,l-officiel-des-cuisinistes,Print,Mensuel,6000,230 x 300,,,,2500,pas de tarif
l-officiel-des-terrains-de-camping::print,L'OFFICIEL DES TERRAINS DE CAMPING,l-officiel-des-terrains-de-camping,Print,Mensuel,8000,218 x 292,,,,2990,2033.2
l-officiel-des-transporteurs::print,L'OFFICIEL DES TRANSPORTEURS,l-officiel-des-transporteurs,Print,Mensuel,4500,210 x 297,,,,6500,4420
l-opticien-lunetier::print,L'OPTICIEN LUNETIER,l-opticien-lunetier,Print,9 numéros / an,5000,205 x 270,,,,3780,2570.4
l-ouie-magazine::print,L'OUIE MAGAZINE,l-ouie-magazine,Print,9 numéros / an,3000,205 x 270,,,,3050,2074
la-boucherie-francaise::print,LA BOUCHERIE FRANCAISE,la-boucherie-francaise,Print,Mensuel,10000,275 x 380,,,,6330,4304.4
la-classe-maternelle::print,LA CLASSE MATERNELLE,la-classe-maternelle,Print,Mensuel,12000,168 x 235,,,,3360,2284.8
la-classe::print,LA CLASSE,la-classe,Print,Mensuel,11200,168 x 235,,,,3240,2203.2
la-cuisine-pro-la-rpf::print,LA CUISINE PRO (LA RPF),la-cuisine-pro-la-rpf,Print,4 Numéros / an,5500,230 x 300,,,,5291,3597.88
la-depeche-veterinaire::print,LA DEPECHE VETERINAIRE,la-depeche-veterinaire,Print,Hebdomadaire,3118,240 x 340,,,,4040,2747.2
la-depeche::print,LA DEPECHE,la-depeche,Print,Hebdomadaire,2750,200 x 285,,,,2580,1754.4
la-france-agricole::print,LA FRANCE AGRICOLE,la-france-agricole,Print,Hebdomadaire (chaque vendredi),91618,200 x 270,,,,17800,12104
la-gazette-du-laboratoire::print,LA GAZETTE DU LABORATOIRE,la-gazette-du-laboratoire,Print,Mensuel,8000,210 x 310,,,,3690,2509.2
la-gazette-du-palais::print,LA GAZETTE DU PALAIS,la-gazette-du-palais,Print,Hebdomadaire,9000,220 x 307,,,,2110,1434.8
la-lettre-du-cancerologue::print,LA LETTRE DU CANCEROLOGUE,la-lettre-du-cancerologue,Print,Mensuel,3500,,,,,8700,5916
